Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-adjusted rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Miramichi Regional Hospital (N.B.),New Brunswick,Horizon Health Network (N.B.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,8.77,10.80,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Myron Thompson Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.17,12.90,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Nipawin Hospital (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.51,12.40,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
North Central East Zone (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.03,10.37,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
North East Region (Ont.),Ontario,North East Region (Ont.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.43,10.06,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Norway House Hospital (Man.),Manitoba,Northern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,5.95,15.04,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Notre Dame Bay Memorial Health Centre (N.L.),Newfoundland and Labrador,Central Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,6.40,14.14,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Pembroke Regional Hospital Inc. (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,8.62,10.93,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Pembroke Regional Hospital Inc. (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,8.66,10.92,-,No,Same as average performance,No change,Not a top result,-,286.8,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Percy E. Moore Hospital (Man.),Manitoba,Interlake–Eastern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,6.73,13.58,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Peterborough Reg. HCtr Corp. — Peterborough Regional Health Centre (Ont.),Ontario,East Region (Ont.),Peterborough Regional Health Centre Corporation (Ont.),Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.21,10.27,-,Yes,,,,-,-,Urban,Community—Large,Not applicable,"Peterborough Regional Health Centre (Ont.), Peterborough Regional Health Centre — Peterborough Regional Health Centre (Ont.) and Peterborough Regional Health Centre — Rogers Street Site (Ont.) have reopened as Peterborough Regional Health Centre (Ont.) as of June 08, 2008. ","October 14, 2025"
Pinawa Hospital (Man.),Manitoba,Interlake–Eastern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,5.84,15.15,-,No,Same as average performance,No change,Not a top result,-,18.5,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Prairie Mountain Health Region (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.12,10.30,-,No,Same as average performance,No change,Not a top result,-,"1,029.5",Not applicable,-,Not applicable,-,"October 14, 2025"
Regina Zone (Sask.),Saskatchewan,Regina Zone (Sask.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.27,10.10,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Rosthern Hospital (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.06,13.05,-,No,Same as average performance,No change,Not a top result,-,42.7,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Royal Columbian Hospital (B.C.),British Columbia,Fraser Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.17,10.24,-,No,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Royal Victoria Regional Health Centre Corporation (Ont.),Ontario,Central Region (Ont.),Royal Victoria Regional Health Centre Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.16,10.28,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Saskatoon Zone (Sask.),Saskatchewan,Saskatoon Zone (Sask.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.33,10.08,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Southeast Integrated Care Centre - Moosomin (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.60,12.15,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Southeast Integrated Care Centre - Moosomin (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.65,12.12,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
St. Anthony’s General Hospital (Man.),Manitoba,Northern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.50,12.35,-,No,Same as average performance,No change,Not a top result,-,64.2,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Strait Richmond Hospital (N.S.),Nova Scotia,Eastern Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,6.85,13.28,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Stuart Lake Hospital (B.C.),-,-,-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,4.62,17.75,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Swan River Valley Hospital (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.64,12.10,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Toronto Region (Ont.),Ontario,Toronto Region (Ont.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.57,9.86,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Unity Health Toronto (Ont.),Ontario,Toronto Region (Ont.),Unity Health Toronto (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.31,10.02,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
University of Alberta Hospital (Alta.),Alberta,Edmonton Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.27,10.11,-,No,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Vulcan Community Health Centre (Alta.),Alberta,Calgary Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,5.29,16.25,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
West Haldimand General Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.18,12.91,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
West Region (Ont.),Ontario,West Region (Ont.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.63,9.87,-,Yes,Below average performance,Weakening,Not a top result,-,"26,688.4",Not applicable,-,Not applicable,-,"October 14, 2025"
Whitecourt Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,6.89,13.36,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Windsor Regional Hospital (Ont.),Ontario,West Region (Ont.),Windsor Regional Hospital (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,9.27,10.05,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Wingham and District Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9.7,per 100,7.10,12.84,-,No,Same as average performance,No change,Not a top result,-,45.9,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Almonte General Hospital (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,4.93,10.74,-,No,,,,-,-,Urban,Community—Small,Large,-,"October 14, 2025"
Beaverlodge Municipal Hospital (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,3.52,13.53,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Boissevain Health Centre District (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,2.98,15.34,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Cambridge Memorial Hospital Corporation (Ont.),Ontario,West Region (Ont.),Cambridge Memorial Hospital Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,6.68,8.09,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Cambridge Memorial Hospital Corporation (Ont.),Ontario,West Region (Ont.),Cambridge Memorial Hospital Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,6.70,8.07,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Carberry Health Center (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,2.37,17.16,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Central Peace Health Complex (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,3.38,14.05,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
CISSS de la Montérégie-Est (Que.),Quebec,Montérégie Region (Que.),CISSS de la Montérégie-Est (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,7.05,7.76,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,"Data previously attributed to Centre jeunesse de la Montérégie (Que.), CSSS de Sorel-Tracy (Que.), CSSS Pierre-Boucher (Que.) and CSSS Richelieu-Yamaska (Que.) will now be attributed to CISSS de la Montérégie-Est (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
CIUSSS de l'Ouest-de-l'Île-de-Montréal (Que.),Quebec,Montréal Region (Que.),CIUSSS de l'Ouest-de-l'Île-de-Montréal (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,6.96,7.85,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,"Data previously attributed to Centre de réadaptation de l’Ouest de Montréal (Que.), Centre de soins prolongés Grace Dart (Que.), CSSS de Dorval-Lachine-Lasalle (Que.), CSSS de l’Ouest-de-l’Île (Que.), IU en santé mentale Douglas (Que.) and Les centres de la jeunessse et de la famille Batshaw (Que.) will now be attributed to CIUSSS de l'Ouest-de-l'Île-de-Montréal (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
Concordia Hospital (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),Concordia Hospital (Man.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,6.55,8.37,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Covenant Health St. Mary’s Hospital [Camrose] (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,6.00,8.97,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Erie Shores HealthCare (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,6.36,8.62,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
