Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-Adjusted Rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Crude rate,Rate Ratio (Income),Potential Rate Reduction (Income),Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Eastern Ontario Health Unit (Ont.),Ontario,Eastern Ontario Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.21,14.14,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Eastern Zone (N.S.),Nova Scotia,Eastern Zone (N.S.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.90,13.16,-,No,Same as average performance,No change,Not a top result,-,-,-,-,47.2,-,-,-,-,"October 20, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.52,13.56,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",Ontario,"Haliburton, Kawartha, Pine Ridge District Health Unit (Ont.)",-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.36,13.87,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Hastings Prince Edward Public Health (Ont.),Ontario,Hastings Prince Edward Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.33,14.10,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Huron Perth Public Health (Ont.),Ontario,Huron Perth Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,6.81,14.87,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Interlake–Eastern Health Region (Man.),Manitoba,Interlake–Eastern Health Region (Man.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.05,14.49,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",Ontario,"Kingston, Frontenac and Lennox & Addington Public Health (Ont.)",-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.17,14.26,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,5.62,17.84,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Lambton Public Health (Ont.),Ontario,Lambton Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,6.81,14.94,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Mauricie et Centre-du-Québec Region (Que.),Quebec,Mauricie et Centre-du-Québec Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.70,11.94,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
North Bay Parry Sound District Health Unit (Ont.),Ontario,North Bay Parry Sound District Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,6.96,14.77,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northeast HSDA (B.C.),British Columbia,Northeast HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,5.44,18.30,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northern Health (B.C.),British Columbia,Northern Health (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.62,13.57,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northern Zone (N.S.),Nova Scotia,Northern Zone (N.S.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.93,13.12,-,No,Same as average performance,No change,Not a top result,-,-,-,-,48.1,-,-,-,-,"October 20, 2025"
Ottawa Public Health (Ont.),Ontario,Ottawa Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.55,12.23,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Regina Zone (Sask.),Saskatchewan,Regina Zone (Sask.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,6.73,15.09,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Region of Waterloo Public Health (Ont.),Ontario,Region of Waterloo Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,8.01,12.94,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saguenay–Lac-Saint-Jean Region (Que.),Quebec,Saguenay–Lac-Saint-Jean Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.83,13.27,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
South West Zone (Sask.),Saskatchewan,South West Zone (Sask.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,6.83,14.93,-,No,Same as average performance,No change,Not a top result,-,-,-,-,20.1,-,-,-,-,"October 20, 2025"
Southwestern Public Health (Ont.),Ontario,Southwestern Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.32,14.10,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Vancouver HSDA (B.C.),British Columbia,Vancouver HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,7.76,13.23,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
West Region (Ont.),Ontario,West Region (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,9.45,11.07,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.2,per 100,6.87,14.78,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Prince Edward Island,Prince Edward Island,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,5.16,11.43,-,No,,,,-,-,1.3,54.6,-,-,-,-,-,"October 20, 2025"
Nova Scotia,Nova Scotia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,5.51,10.67,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nova Scotia,Nova Scotia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,5.45,10.91,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
New Brunswick,New Brunswick,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,5.25,11.09,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,5.35,10.99,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,6.18,9.50,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,6.28,9.38,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Urban versus rural/remote,Urban,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,6.02,9.81,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Alberta,Alberta,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,6.02,9.75,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Algoma Public Health (Ont.),Ontario,Algoma Public Health (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,5.11,11.31,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Edmonton Zone (Alta.),Alberta,Edmonton Zone (Alta.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,6.27,9.37,-,No,Same as average performance,No change,Not a top result,-,-,-,-,106.6,-,-,-,-,"October 20, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,3.57,15.95,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,6.09,9.57,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Laval Region (Que.),Quebec,Laval Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,5.61,10.38,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
"Leeds, Grenville and Lanark District Health Unit (Ont.)",Ontario,"Leeds, Grenville and Lanark District Health Unit (Ont.)",-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,5.14,11.39,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Northern Interior HSDA (B.C.),British Columbia,Northern Interior HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,4.79,12.12,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Sudbury and District Health Unit (Ont.),Ontario,Sudbury and District Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.7,per 100,5.11,11.36,-,No,Same as average performance,No change,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nova Scotia,Nova Scotia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q1 (lowest income),Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.25,10.29,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nova Scotia,Nova Scotia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Neighbourhood income quintile,Q2,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.44,10.08,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nova Scotia,Nova Scotia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.25,10.41,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nova Scotia,Nova Scotia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.19,10.53,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Nova Scotia,Nova Scotia,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Neighbourhood income quintile,Q5 (highest income),Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.05,10.86,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Neighbourhood income quintile,Q3,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.12,10.67,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Neighbourhood income quintile,Q4,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,4.51,11.82,-,,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,6.02,9.14,-,No,Same as average performance,No change,Not a top result,-,-,-,-,99.0,-,-,-,-,"October 20, 2025"
Central Vancouver Island HSDA (B.C.),British Columbia,Central Vancouver Island HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.42,9.96,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Estrie Region (Que.),Quebec,Estrie Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.67,9.69,-,No,Same as average performance,No change,Not a top result,-,-,-,-,59.9,-,-,-,-,"October 20, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,3.22,16.33,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Richmond HSDA (B.C.),British Columbia,Richmond HSDA (B.C.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,4.56,11.88,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
South Zone (Alta.),Alberta,South Zone (Alta.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.25,10.40,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Windsor–Essex County Health Unit (Ont.),Ontario,Windsor–Essex County Health Unit (Ont.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.55,9.89,-,No,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Winnipeg–Churchill Health Region (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,7.4,per 100,5.79,9.54,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15.8,per 100,9.26,25.97,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Gaspésie–Îles-de-la-Madeleine Region (Que.),Quebec,Gaspésie–Îles-de-la-Madeleine Region (Que.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.7,per 100,11.29,18.84,-,Yes,,,,-,-,-,-,-,-,-,-,-,"October 20, 2025"
Labrador–Grenfell Zone (N.L.),Newfoundland and Labrador,Labrador–Grenfell Zone (N.L.),-,Health region,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,14.7,per 100,8.97,23.28,-,No,Same as average performance,No change,Not a top result,-,-,-,-,8.8,-,-,-,-,"October 20, 2025"
